PairlD,sentence1,sentence2,score
22,"Khi tôi gặp , anh_ta đã làm_việc 14 năm ở khu mỏ , và vết_thương ở chân mà bạn thấy đây là từ 1 tai_nạn ở mỏ , một chân bị_thương nặng đến_nỗi bác_sĩ nói phải cưa đi .",Trường đại học vừa công bố chương trình học bổng mới dành cho sinh viên có hoàn cảnh khó khăn.,0
23,"Khi tôi gặp , anh_ta đã làm_việc 14 năm ở khu mỏ , và vết_thương ở chân mà bạn thấy đây là từ 1 tai_nạn ở mỏ , một chân bị_thương nặng đến_nỗi bác_sĩ nói phải cưa đi .","Sau nhiều năm lao động tại khu mỏ, sức khỏe của anh suy giảm nghiêm trọng và anh phải đối mặt với nhiều biến chứng do điều kiện làm việc nguy hiểm.",1
24,"Khi tôi gặp , anh_ta đã làm_việc 14 năm ở khu mỏ , và vết_thương ở chân mà bạn thấy đây là từ 1 tai_nạn ở mỏ , một chân bị_thương nặng đến_nỗi bác_sĩ nói phải cưa đi .","Lúc tôi gặp anh ấy, anh đã làm việc ở mỏ được 14 năm; vết thương ở chân mà bạn đang thấy là hậu quả của một tai nạn tại đó, khiến chân anh tổn thương nặng đến mức bác sĩ từng đề nghị phải cắt bỏ.",2
25,"Khi người chú mất , Manuru kế_thừa món nợ của chú , và bị buộc làm nô_lệ trong khu mỏ này lâu hơn_nữa .",Thị trường chứng khoán hôm nay ghi nhận mức tăng mạnh ở nhóm cổ phiếu công nghệ.,0
26,"Khi người chú mất , Manuru kế_thừa món nợ của chú , và bị buộc làm nô_lệ trong khu mỏ này lâu hơn_nữa .",Cuộc sống của Manuru tại khu mỏ ngày càng khắc nghiệt khi anh không có cơ hội thoát khỏi sự ràng buộc tài chính.,1
27,"Khi người chú mất , Manuru kế_thừa món nợ của chú , và bị buộc làm nô_lệ trong khu mỏ này lâu hơn_nữa .","Sau khi người chú qua đời, Manuru phải gánh khoản nợ đó và vì thế bị ép tiếp tục làm nô lệ tại khu mỏ này trong thời gian dài hơn.",2
28,"Đây là Manuru . Khi cha mất , anh_ta được người chú đưa đến khu mỏ làm_việc cùng .",Hội nghị quốc tế về biến đổi khí hậu sẽ được tổ chức tại Geneva vào tháng tới.,0
29,"Đây là Manuru . Khi cha mất , anh_ta được người chú đưa đến khu mỏ làm_việc cùng .","Từ khi còn nhỏ, Manuru đã phải sống xa gia đình và làm việc trong điều kiện khắc nghiệt tại khu mỏ.",1
30,"Đây là Manuru . Khi cha mất , anh_ta được người chú đưa đến khu mỏ làm_việc cùng .","Đây là Manuru; sau khi cha qua đời, anh ấy được chú dẫn đến khu mỏ để cùng làm việc.",2
31,"Thực_tế , nhiều khả_năng người cơ_bắp này cuối_cùng sẽ giống người này , bị bệnh lao hành_hạ và nhiễm_độc thuỷ_ngân trong vài năm nữa .",Giải vô địch điền kinh quốc gia năm nay thu hút sự tham gia của hàng trăm vận động viên từ khắp các tỉnh thành.,0
32,"Thực_tế , nhiều khả_năng người cơ_bắp này cuối_cùng sẽ giống người này , bị bệnh lao hành_hạ và nhiễm_độc thuỷ_ngân trong vài năm nữa .",Điều kiện làm việc độc hại tại khu mỏ đang khiến nhiều công nhân đối mặt với nguy cơ mắc các bệnh nghiêm trọng trong tương lai.,1
33,"Thực_tế , nhiều khả_năng người cơ_bắp này cuối_cùng sẽ giống người này , bị bệnh lao hành_hạ và nhiễm_độc thuỷ_ngân trong vài năm nữa .","Trên thực tế, rất có thể người đàn ông lực lưỡng này rồi cũng sẽ rơi vào hoàn cảnh như người kia, bị lao tàn phá và nhiễm độc thủy ngân chỉ trong vài năm tới.",2
34,"Họ đều là nạn_nhân của tổn_thương , bệnh_tật và bạo_lực .",Chính phủ đang đầu tư mạnh vào hạ tầng số để thúc đẩy chuyển đổi công nghệ trong doanh nghiệp.,0
35,"Họ đều là nạn_nhân của tổn_thương , bệnh_tật và bạo_lực .",Những con người ấy phải chịu đựng nhiều đau khổ cả về thể xác lẫn tinh thần trong suốt quãng thời gian bị áp bức.,1
36,"Họ đều là nạn_nhân của tổn_thương , bệnh_tật và bạo_lực .","Tất cả họ đều là những người chịu ảnh hưởng bởi thương tích, bệnh tật và sự bạo hành.**",2
37,"Tôi vẫn nhớ khi nhìn vào đôi mắt đỏ_quạch , mệt_mỏi của họ vì nhiều người đã ở dưới lòng đất tới 72 giờ .",Nhà khoa học vừa phát hiện một loài sinh vật biển mới ở độ sâu hàng nghìn mét.,0
38,"Tôi vẫn nhớ khi nhìn vào đôi mắt đỏ_quạch , mệt_mỏi của họ vì nhiều người đã ở dưới lòng đất tới 72 giờ .","Nhiều công nhân phải làm việc liên tục nhiều ngày trong hầm mỏ, khiến sức khỏe và tinh thần của họ suy kiệt.",1
39,"Tôi vẫn nhớ khi nhìn vào đôi mắt đỏ_quạch , mệt_mỏi của họ vì nhiều người đã ở dưới lòng đất tới 72 giờ .","Tôi vẫn còn nhớ ánh mắt đỏ hoe, đầy mệt mỏi của họ, bởi có người đã phải ở dưới lòng đất suốt 72 giờ liền.",2
40,"Khi ra khỏi hầm , người họ ướt_sũng bởi mồ_hôi của chính mình .",Cuộc triển lãm tranh đương đại đã thu hút đông đảo khách tham quan trong ngày khai mạc.,0
41,"Khi ra khỏi hầm , người họ ướt_sũng bởi mồ_hôi của chính mình .","Sau nhiều giờ làm việc dưới lòng đất, cơ thể họ kiệt sức và quần áo lấm lem bụi than.",1
42,"Khi ra khỏi hầm , người họ ướt_sũng bởi mồ_hôi của chính mình .","Khi bước ra khỏi hầm mỏ, toàn thân họ đẫm ướt mồ hôi do chính mình toát ra.**",2
43,Những người thợ mỏ này bị bắt làm nô_lệ trong hầm_mỏ ở 1 khu_vực khác của Ghana .,Thành phố vừa khánh thành một cây cầu mới nhằm cải thiện giao thông giữa hai quận trung tâm.,0
44,Những người thợ mỏ này bị bắt làm nô_lệ trong hầm_mỏ ở 1 khu_vực khác của Ghana .,Ngành khai thác khoáng sản ở Ghana từ lâu đã bị chỉ trích vì điều kiện lao động nguy hiểm và thiếu bảo hộ cho công nhân.,1
45,Những người thợ mỏ này bị bắt làm nô_lệ trong hầm_mỏ ở 1 khu_vực khác của Ghana .,Những công nhân khai thác này đã bị ép làm nô lệ trong một hầm mỏ thuộc khu vực khác của Ghana.,2
46,Thuỷ_ngân được dùng trong quá_trình chiết_xuất .,Giải bóng rổ học sinh toàn quốc năm nay diễn ra sôi nổi với nhiều trận đấu kịch tính.,0
47,Thuỷ_ngân được dùng trong quá_trình chiết_xuất .,Việc sử dụng hóa chất trong khai thác vàng thủ công tiềm ẩn nhiều rủi ro đối với sức khỏe con người và môi trường.,1
48,Thuỷ_ngân được dùng trong quá_trình chiết_xuất .,"Trong quy trình chiết xuất, người ta sử dụng thủy ngân.",2
49,"Nhiều phụ_nữ địu con trên lưng trong khi đãi vàng , và lội qua dòng nước nhiễm_độc thuỷ_ngân .",Thị trường bất động sản ven biển đang ghi nhận sự tăng trưởng mạnh trong quý vừa qua.,0
50,"Nhiều phụ_nữ địu con trên lưng trong khi đãi vàng , và lội qua dòng nước nhiễm_độc thuỷ_ngân .",Hoạt động khai thác vàng thủ công khiến nhiều gia đình phải làm việc trong điều kiện nguy hiểm và tiếp xúc với hóa chất độc hại.,1
51,"Nhiều phụ_nữ địu con trên lưng trong khi đãi vàng , và lội qua dòng nước nhiễm_độc thuỷ_ngân .","Rất nhiều phụ nữ vừa cõng con sau lưng vừa đãi vàng, đồng thời bước qua những dòng nước bị nhiễm thủy ngân độc hại.",2
52,"Anh_ta bảo chúng_tôi đi theo trên con đường lầy_lội vào rừng ,",Buổi hòa nhạc tối qua đã thu hút hàng nghìn khán giả đến sân vận động trung tâm.,0
53,"Anh_ta bảo chúng_tôi đi theo trên con đường lầy_lội vào rừng ,",Chúng tôi phải băng qua khu rừng rậm rạp với địa hình trơn trượt theo sự hướng dẫn của anh ấy.,1
54,"Anh_ta bảo chúng_tôi đi theo trên con đường lầy_lội vào rừng ,",Anh ấy yêu cầu chúng tôi đi theo mình dọc theo con đường đầy bùn đất dẫn vào rừng.,2
55,"Ở cuối đường , anh_ta giục chúng_tôi rời xe , và bảo lái_xe đi ngay .",Giá cà phê trên thị trường thế giới đang có xu hướng giảm trong tuần này.,0
56,"Ở cuối đường , anh_ta giục chúng_tôi rời xe , và bảo lái_xe đi ngay .","Khi đến nơi, anh ấy yêu cầu mọi người nhanh chóng xuống xe để tiếp tục hành trình bằng cách khác.",1
57,"Ở cuối đường , anh_ta giục chúng_tôi rời xe , và bảo lái_xe đi ngay .","Tới cuối con đường, anh ấy thúc chúng tôi xuống xe rồi ra lệnh cho tài xế rời đi ngay lập tức.",2
58,Em sẽ trở_thành người thế_nào nếu có ai đó đứng lên và thay_đổi cuộc_đời em ?,Giá vàng hôm nay giảm nhẹ sau khi thị trường quốc tế điều chỉnh.,0
59,Em sẽ trở_thành người thế_nào nếu có ai đó đứng lên và thay_đổi cuộc_đời em ?,"Nhiều người tin rằng chỉ cần một cơ hội đúng lúc, tương lai của một đứa trẻ có thể rẽ sang hướng hoàn toàn khác.",1
60,Em sẽ trở_thành người thế_nào nếu có ai đó đứng lên và thay_đổi cuộc_đời em ?,"Nếu có người đứng ra giúp đỡ và làm thay đổi cuộc đời em, thì em sẽ trở thành một con người như thế nào?",2
61,Tôi muốn giới_thiệu Kofi với bạn .,Cuộc họp hội đồng quản trị sẽ diễn ra vào sáng thứ Hai tuần tới.,0
62,Tôi muốn giới_thiệu Kofi với bạn .,Tôi mong bạn có dịp trò chuyện và tìm hiểu thêm về Kofi trong thời gian tới.,1
63,Tôi muốn giới_thiệu Kofi với bạn .,Tôi muốn đưa Kofi ra mắt để bạn làm quen.,2
64,Kofi được cứu từ 1 làng chài .,Thành phố vừa khai trương một trung tâm thương mại mới ở khu vực ngoại ô.,0
65,Kofi được cứu từ 1 làng chài .,"Sau khi được giải cứu, Kofi bắt đầu một cuộc sống mới với nhiều cơ hội học tập hơn.",1
66,Kofi được cứu từ 1 làng chài .,Kofi đã được giải thoát khỏi một ngôi làng đánh cá.,2
67,Tôi gặp cậu_bé ở khu cứu_trợ mà tổ_chức Giải_phóng Nô_lệ phục_hồi các nạn_nhân bị nô_lệ .,Giải marathon quốc tế năm nay thu hút hàng nghìn vận động viên tham gia.,0
68,Tôi gặp cậu_bé ở khu cứu_trợ mà tổ_chức Giải_phóng Nô_lệ phục_hồi các nạn_nhân bị nô_lệ .,Tổ chức Giải phóng Nô lệ đang triển khai nhiều chương trình tái hòa nhập cộng đồng cho những người từng bị bóc lột.,1
69,Tôi gặp cậu_bé ở khu cứu_trợ mà tổ_chức Giải_phóng Nô_lệ phục_hồi các nạn_nhân bị nô_lệ .,Tôi đã gặp cậu bé tại trung tâm cứu trợ nơi tổ chức Giải phóng Nô lệ đang phục hồi cho các nạn nhân của nô lệ.,2
70,Cần lưu_ý rằng những chiếc lưới này nặng gần 500kgs khi chúng đầy cá .,Trường học vừa lắp đặt hệ thống máy lạnh mới cho tất cả các phòng học.,0
71,Cần lưu_ý rằng những chiếc lưới này nặng gần 500kgs khi chúng đầy cá .,Công việc kéo lưới đòi hỏi sức lực lớn vì ngư dân phải làm việc liên tục trong điều kiện khắc nghiệt.,1
72,Cần lưu_ý rằng những chiếc lưới này nặng gần 500kgs khi chúng đầy cá .,"Cần chú ý rằng khi chứa đầy cá, mỗi tấm lưới có thể nặng xấp xỉ 500 kg.",2
73,"Những gì cậu_bé nhớ được , là em bị bắt làm_việc ở hồ .",Chính phủ đang xem xét điều chỉnh chính sách thuế để hỗ trợ doanh nghiệp nhỏ.,0
74,"Những gì cậu_bé nhớ được , là em bị bắt làm_việc ở hồ .",Tuổi thơ của cậu gắn liền với những ngày lao động nặng nhọc thay vì được đến trường như bao đứa trẻ khác.,1
75,"Những gì cậu_bé nhớ được , là em bị bắt làm_việc ở hồ .",Điều mà cậu bé còn nhớ là mình đã bị ép làm việc tại hồ.,2
76,Nhiều em chết_đuối .,Thành phố đang triển khai dự án trồng thêm cây xanh ở các tuyến đường chính.,0
77,Nhiều em chết_đuối .,Không ít trẻ nhỏ đã gặp tai nạn nghiêm trọng khi phải lao động trong môi trường nước nguy hiểm.,1
78,Nhiều em chết_đuối .,Rất nhiều em đã thiệt mạng do bị đuối nước.,2
79,"Những cành cây gãy tụ vào hồ Volta thường vướng vào lưới đánh_cá , và những đứa trẻ vừa mệt_lử vừa sợ_hãi bị đẩy xuống_nước để gỡ lưỡi_câu .",Chính phủ vừa công bố kế hoạch phát triển du lịch sinh thái tại các vùng ven biển.,0
80,"Những cành cây gãy tụ vào hồ Volta thường vướng vào lưới đánh_cá , và những đứa trẻ vừa mệt_lử vừa sợ_hãi bị đẩy xuống_nước để gỡ lưỡi_câu .","Tại hồ Volta, nhiều trẻ em phải làm việc trong điều kiện nguy hiểm khi hỗ trợ việc đánh bắt cá cho người lớn.",1
81,"Những cành cây gãy tụ vào hồ Volta thường vướng vào lưới đánh_cá , và những đứa trẻ vừa mệt_lử vừa sợ_hãi bị đẩy xuống_nước để gỡ lưỡi_câu .","Các cành cây gãy dồn về hồ Volta hay mắc vào lưới cá, và những đứa trẻ kiệt sức, hoảng sợ bị xô xuống nước để tháo những chiếc lưỡi câu ra.",2
82,Cậu_bé khiếp_đảm vì sợ rơi xuống_nước .,Giải thưởng điện ảnh năm nay thu hút sự quan tâm lớn từ công chúng.,0
83,Cậu_bé khiếp_đảm vì sợ rơi xuống_nước .,Cậu bé luôn sống trong lo lắng khi phải làm việc gần mặt nước sâu và nguy hiểm.,1
84,Cậu_bé khiếp_đảm vì sợ rơi xuống_nước .,"Vì lo sợ sẽ ngã xuống nước, cậu bé vô cùng hoảng hốt.",2
85,Đứa trẻ này 8 tuổi .,Thị trường chứng khoán toàn cầu đang có nhiều biến động trong tuần qua.,0
86,Đứa trẻ này 8 tuổi .,"Ở độ tuổi còn rất nhỏ, em đã phải đối mặt với nhiều khó khăn trong cuộc sống.",1
87,Đứa trẻ này 8 tuổi .,Em bé này mới 8 tuổi.,2
88,"Trẻ_em bị đưa khỏi gia_đình , buôn_bán và mất_tích , và bị bắt làm_việc không ngừng_nghỉ trên những con thuyền này ở hồ này , dù chúng không biết bơi .",Thành phố vừa khởi công xây dựng một tuyến tàu điện ngầm mới nhằm giảm ùn tắc giao thông.,0
89,"Trẻ_em bị đưa khỏi gia_đình , buôn_bán và mất_tích , và bị bắt làm_việc không ngừng_nghỉ trên những con thuyền này ở hồ này , dù chúng không biết bơi .",Nhiều tổ chức nhân quyền đang lên tiếng về tình trạng trẻ em bị ép lao động trong điều kiện nguy hiểm và thiếu sự bảo vệ.,1
90,"Trẻ_em bị đưa khỏi gia_đình , buôn_bán và mất_tích , và bị bắt làm_việc không ngừng_nghỉ trên những con thuyền này ở hồ này , dù chúng không biết bơi .","Những đứa trẻ bị tách khỏi gia đình, bị mua bán rồi mất tích, sau đó bị buộc làm việc liên tục trên các con thuyền ở hồ này dù không hề biết bơi.",2
91,"Tôi thấy cảnh giống như 1 gia_đình đang đánh_cá trên thuyền , 2 anh_trai , vài đứa nhỏ hơn , có_vẻ hợp_lí nhỉ ?",Giải đấu quần vợt quốc tế năm nay được tổ chức tại Melbourne với sự tham gia của nhiều tay vợt hàng đầu.,0
92,"Tôi thấy cảnh giống như 1 gia_đình đang đánh_cá trên thuyền , 2 anh_trai , vài đứa nhỏ hơn , có_vẻ hợp_lí nhỉ ?","Thoạt nhìn, khung cảnh trên chiếc thuyền trông khá bình thường, như thể những người thân đang cùng nhau làm việc.",1
93,"Tôi thấy cảnh giống như 1 gia_đình đang đánh_cá trên thuyền , 2 anh_trai , vài đứa nhỏ hơn , có_vẻ hợp_lí nhỉ ?","Tôi nhìn thấy một cảnh tượng như một gia đình đang cùng nhau đánh cá trên thuyền, gồm hai người anh và mấy đứa trẻ nhỏ hơn, nghe có vẻ hợp lý phải không?**",2
94,"Đôi tay nhuộm đen là người cha , những bàn_tay xanh và đỏ là con_trai ông ấy .",Thành phố vừa tổ chức lễ hội ánh sáng thu hút đông đảo du khách tham dự.,0
95,"Đôi tay nhuộm đen là người cha , những bàn_tay xanh và đỏ là con_trai ông ấy .","Cả gia đình cùng tham gia lao động, và màu sắc trên tay họ phản ánh tính chất công việc mà mỗi người đảm nhận.",1
96,"Đôi tay nhuộm đen là người cha , những bàn_tay xanh và đỏ là con_trai ông ấy .","Bàn tay đen sạm thuộc về người cha, còn những bàn tay mang màu xanh và đỏ là của các con trai ông.",2
97,"Họ trộn thuốc_nhuộm trong những thùng lớn , và nhúng lụa vào dung_dịch đó ngập đến khuỷ tay , dù thuốc_nhuộm rất độc .",Giải chạy bộ gây quỹ từ thiện năm nay thu hút đông đảo người tham gia.,0
98,"Họ trộn thuốc_nhuộm trong những thùng lớn , và nhúng lụa vào dung_dịch đó ngập đến khuỷ tay , dù thuốc_nhuộm rất độc .",Công việc nhuộm vải khiến nhiều người phải tiếp xúc trực tiếp với hóa chất nguy hiểm mà không có đồ bảo hộ đầy đủ.,1
99,"Họ trộn thuốc_nhuộm trong những thùng lớn , và nhúng lụa vào dung_dịch đó ngập đến khuỷ tay , dù thuốc_nhuộm rất độc .","Họ pha thuốc nhuộm trong các thùng lớn rồi nhúng lụa vào dung dịch ấy đến tận khuỷu tay, mặc cho loại thuốc nhuộm này rất độc hại.",2
100,Người_làm ở đây thường phải chịu lạm_dụng tình_dục thê_thảm dưới bàn_tay khách_hàng .,Chính quyền địa phương đang triển khai chiến dịch tiêm chủng mở rộng cho trẻ em.,0
101,Người_làm ở đây thường phải chịu lạm_dụng tình_dục thê_thảm dưới bàn_tay khách_hàng .,Những lao động tại đây thường xuyên bị đối xử tàn nhẫn và không được bảo vệ quyền lợi cơ bản.,1
102,Người_làm ở đây thường phải chịu lạm_dụng tình_dục thê_thảm dưới bàn_tay khách_hàng .,Những người làm việc ở đây thường xuyên trở thành nạn nhân của sự lạm dụng tình dục nghiêm trọng từ phía khách hàng.,2
103,"Những nhà_hàng phân buồng , như được biết đến trong ngành , là những địa_điểm của nạn mại_dâm cưỡng_ép .",Thành phố đang khuyến khích phát triển các mô hình nhà hàng xanh thân thiện với môi trường.,0
104,"Những nhà_hàng phân buồng , như được biết đến trong ngành , là những địa_điểm của nạn mại_dâm cưỡng_ép .",Nhiều cơ sở kinh doanh trá hình đã bị phát hiện có liên quan đến hoạt động buôn bán người và khai thác tình dục.,1
105,"Những nhà_hàng phân buồng , như được biết đến trong ngành , là những địa_điểm của nạn mại_dâm cưỡng_ép .","Các “nhà hàng phân buồng”, theo cách gọi trong ngành, thực chất là những nơi diễn ra hoạt động mại dâm bị ép buộc.",2
106,"Họ dẫn tôi xuống những bậc cầu_thang hẹp xuống tầng hầm bẩn_thỉu , trong ánh_sáng lờ_mờ .",Hội chợ sách quốc tế năm nay giới thiệu hàng nghìn đầu sách mới từ nhiều quốc gia.,0
107,"Họ dẫn tôi xuống những bậc cầu_thang hẹp xuống tầng hầm bẩn_thỉu , trong ánh_sáng lờ_mờ .","Không gian phía dưới ẩm thấp và ngột ngạt, khiến tôi cảm thấy bất an khi bước vào.",1
108,"Họ dẫn tôi xuống những bậc cầu_thang hẹp xuống tầng hầm bẩn_thỉu , trong ánh_sáng lờ_mờ .","Họ đưa tôi đi xuống cầu thang chật hẹp dẫn tới một tầng hầm dơ bẩn, dưới thứ ánh sáng mờ tối.",2
109,"Khi người dân_làng này đòi tự_do , những chủ_nô đốt sạch nhà của họ .",Giải vô địch cờ vua quốc gia năm nay có sự tham gia của nhiều kỳ thủ trẻ tài năng.,0
110,"Khi người dân_làng này đòi tự_do , những chủ_nô đốt sạch nhà của họ .",Việc đứng lên phản kháng đã khiến cộng đồng này phải đối mặt với sự trả đũa tàn bạo từ phía những kẻ kiểm soát họ.,1
111,"Khi người dân_làng này đòi tự_do , những chủ_nô đốt sạch nhà của họ .","Khi dân làng yêu cầu được tự do, các chủ nô đã thiêu rụi toàn bộ nhà cửa của họ.",2
112,"Một_số người thậm_chí không biết mình bị biến thành nô_lệ , họ làm_việc không công 16 , 17 giờ mỗi ngày , vì suốt đời họ chỉ biết thế .",Thành phố vừa khai trương tuyến xe buýt nhanh mới nhằm giảm áp lực giao thông giờ cao điểm.,0
113,"Một_số người thậm_chí không biết mình bị biến thành nô_lệ , họ làm_việc không công 16 , 17 giờ mỗi ngày , vì suốt đời họ chỉ biết thế .",Nhiều người bị bóc lột sức lao động trong thời gian dài mà không hề nhận ra họ đang bị tước đoạt quyền cơ bản của mình.,1
114,"Một_số người thậm_chí không biết mình bị biến thành nô_lệ , họ làm_việc không công 16 , 17 giờ mỗi ngày , vì suốt đời họ chỉ biết thế .","Có những người còn chẳng ý thức được mình đang sống trong cảnh nô lệ; họ làm việc 16 đến 17 giờ mỗi ngày không được trả công, bởi từ trước đến nay họ chỉ biết một cuộc sống như vậy.",2
115,"Làm_sao chúng_ta có_thể tạo ra_điều quỷ_quyệt này , lại còn xảy tràn làn như_thế ?",Giá cà phê trong nước đang tăng do nhu cầu xuất khẩu cao.,0
116,"Làm_sao chúng_ta có_thể tạo ra_điều quỷ_quyệt này , lại còn xảy tràn làn như_thế ?",Thật khó hiểu vì sao một hành vi tàn nhẫn như vậy lại có thể tồn tại phổ biến đến thế trong xã hội.,1
117,"Làm_sao chúng_ta có_thể tạo ra_điều quỷ_quyệt này , lại còn xảy tràn làn như_thế ?",Tại sao chúng ta lại để cho điều độc ác này được tạo ra và lan rộng khắp nơi như vậy?,2
118,Chứng_kiến những chuyện quá_sức như_thế thật nặng_nề .,Giải đua xe đạp quốc tế năm nay thu hút nhiều vận động viên đến từ châu Âu.,0
119,Chứng_kiến những chuyện quá_sức như_thế thật nặng_nề .,Những gì tôi thấy khiến tôi suy sụp và ám ảnh trong một thời gian dài.,1
120,Chứng_kiến những chuyện quá_sức như_thế thật nặng_nề .,Việc tận mắt chứng kiến những điều vượt quá sức chịu đựng như vậy thật sự rất nặng lòng.,2
121,Tôi muốn cho các bạn biết về sự to_lớn của những nỗ_lực khoa_học đã góp_phần làm_nên các dòng tít bạn thường thấy trên báo .,Thành phố vừa tổ chức lễ hội ẩm thực với sự tham gia của nhiều đầu bếp nổi tiếng.,0
